Year,forewing_length,sex,JUN_mean,rain_JUN
1880,14.647,Females,13.8,87.9
1892,14.358,Females,13.4,83.1
1892,13.064,Males,13.4,83.1
1896,14.704,Females,16.2,54.7
1898,14.712,Females,13.6,44.9
1899,13.771,Males,15.7,37.7
1903,13.62875,Females,13,55.3
1904,14.23375,Females,13.3,14.1
1904,12.794,Males,13.3,14.1
1905,14.401,Females,14.7,69.9
1905,13.072,Males,14.7,69.9
1906,14.518,Females,14.3,74.2
1906,12.76975,Males,14.3,74.2
1907,12.0175,Males,12.4,55.6
1908,14.087,Females,14.3,37.7
1908,12.54475,Males,14.3,37.7
1909,14.1515,Females,11.8,81.8
1911,14.38275,Females,14.5,72.1
1914,13.063,Males,14.5,577
1916,13.7795,Females,11.8,60.9
1916,12.35775,Males,11.8,60.9
1917,14.43675,Females,15.2,47.8
1917,12.86975,Males,15.2,47.8
1920,13.7035,Males,14.4,56.2
1923,14.3915,Females,12.5,16.5
1924,14.4905,Females,13.9,48.8
1924,13.239,Males,13.9,48.8
1925,13.936,Females,15,5.8
1927,12.29125,Males,12.6,96.6
1928,12.62225,Males,12.9,70.4
1929,13.06975,Males,13.3,30.3
1932,12.6515,Males,14.1,15.4
1936,14.105,Females,14.7,89.2
1937,14.785,Females,14.1,32
1937,13.214,Males,14.1,32
1938,13.4625,Females,14.4,31.7
1939,13.2645,Females,14.2,52.1
1939,12.9315,Males,14.2,52.1
1941,14.0355,Females,15.1,22.7
1941,13.8145,Males,15.1,22.7
1944,12.63875,Males,13.5,47.1
1945,15.1055,Females,14.6,57.6
1946,12.917,Males,13.1,70.8
1947,14.5325,Females,15.5,46.5
1947,13.334,Males,15.5,46.5
1951,14.677,Female,14,30.8
1951,13.46425,Males,14,30.8
1961,14.6875,Female,14.4,28.9
1963,15.20025,Female,14.9,62
1964,14.9465,Female,13.8,77.8
1965,13.5935,Female,14.7,51
1966,14.35675,Female,15.4,73.2
1966,13.37425,Males,15.4,73.2
1969,12.85775,Maes,13.9,39.4
1970,12.65775,Males,16.4,27.1
1971,13.5275,Females,12.4,71.5
1971,12.1845,Males,12.4,71.5
1973,13.93875,Males,14.8,76.1
